"name","engine_source","deck_import_eligible","engine_status","semantic_class","mana_cost","type_line","color_identity","oracle_id","source_name","source_match","in_comparison_universe","source_commander_legality","source_games"
"+2 Mace","oracle-0014","true","certified","equipment-template","{1}{W}","Artifact — Equipment","W","629fe1be-272d-465f-b9b1-2ce177410f13","+2 Mace","oracle-id","true","legal","arena,paper,mtgo"
"A Little Chat","oracle-0148","true","certified","spell-template","{1}{U}","Instant","U","1167fe30-32b8-4381-8067-a05cd345977b","A Little Chat","oracle-id","true","legal","paper,mtgo,arena"
"A Realm Reborn","oracle-0097","true","certified","enchantment-template","{4}{G}{G}","Enchantment","G","fd230ab5-874e-4827-9b5c-6d39d079cee6","A Realm Reborn","oracle-id","true","legal","paper,arena,mtgo"
"A Tale for the Ages","oracle-0027","true","certified","enchantment-template","{1}{W}","Enchantment","W","682a0770-8fe0-4142-aa0c-b60af3628a33","A Tale for the Ages","oracle-id","true","legal","paper,arena,mtgo"
"A.I.M. Bot","oracle-0001","true","certified","keyword-only","{2}{U}","Artifact Creature — Robot Villain","U","bd269d87-5f72-4559-bf2b-270e2ebe6154","A.I.M. Bot","oracle-id","true","legal","paper,mtgo,arena"
"A.I.M. Labs","oracle-0004","true","certified","land-mana-template","","Land","BU","8417f2d5-93c9-474a-a143-5c4e17097a88","A.I.M. Labs","oracle-id","true","legal","paper,mtgo,arena"
"A.I.M. Scientists","oracle-0027","true","certified","creature-template","{3}{U}","Creature — Human Scientist Villain","U","fa732888-5b7d-4087-a6e5-1db1c98fbd4c","A.I.M. Scientists","oracle-id","true","legal","paper,mtgo,arena"
"A.I.M. Synthoids","oracle-0004","true","certified","creature-template","{2}","Artifact Creature — Robot Villain","","10916f33-aaa6-43a1-9835-b60fd061161f","A.I.M. Synthoids","oracle-id","true","legal","paper,mtgo,arena"
"Aang and Katara","oracle-0159","true","certified","creature-template","{3}{G}{W}{U}","Legendary Creature — Human Avatar Ally","GUW","481c3e14-b670-4fab-aa9f-6ce5b514096d","Aang and Katara","oracle-id","true","legal","paper,arena,mtgo"
"Aang's Defense","oracle-0027","true","certified","spell-v4-template","{W}","Instant","W","92b617f9-6e6b-42a0-9c45-6ff5f6193051","Aang's Defense","oracle-id","true","legal","paper,arena,mtgo"
"Aang, A Lot to Learn","oracle-0127","true","certified","creature-template","{2}{G/W}","Legendary Creature — Human Avatar Ally","GW","854278bc-2bcf-45dd-abd5-6aca7a1e5fc9","Aang, A Lot to Learn","oracle-id","true","legal","paper,arena,mtgo"
"Aang, Air Nomad","oracle-0027","true","certified","creature-template","{3}{W}{W}","Legendary Creature — Human Avatar Ally","W","e46b2ac6-97d6-48f2-aba3-cd92f8e092c6","Aang, Air Nomad","oracle-id","true","legal","paper,arena,mtgo"
"Aardvark Sloth","oracle-0001","true","certified","keyword-only","{3}{W}","Creature — Sloth Beast","W","1c385880-3eea-45c8-8e89-330ad8ad92b1","Aardvark Sloth","oracle-id","true","legal","paper,arena,mtgo"
"Aatchik, Emerald Radian","oracle-0127","true","certified","creature-template","{3}{B}{B}{G}","Legendary Creature — Insect Druid","BG","405c4a7b-dbb3-48a1-9205-7dbe6e2ad363","Aatchik, Emerald Radian","oracle-id","true","legal","paper,arena,mtgo"
"Abandon Attachments","oracle-0047","true","certified","spell-template","{1}{U/R}","Instant — Lesson","RU","82333385-631f-4abf-b159-bb367f1c6fd9","Abandon Attachments","oracle-id","true","legal","paper,arena,mtgo"
"Abandon Reason","oracle-0127","true","certified","spell-template","{2}{R}","Instant","R","fa43793d-a215-4a64-a09c-ed9799f745a4","Abandon Reason","oracle-id","true","legal","paper,mtgo"
"Abandon the Post","oracle-0127","true","certified","spell-template","{1}{R}","Sorcery","R","5404c6a5-399d-4237-b03c-41b6a1b79050","Abandon the Post","oracle-id","true","legal","arena,paper,mtgo"
"Abandoned Air Temple","oracle-0149","true","certified","land-mana-template","","Land","W","9575d7ce-f26d-4b90-87a3-6329e9799572","Abandoned Air Temple","oracle-id","true","legal","paper,arena,mtgo"
"Abandoned Campground","oracle-0027","true","certified","land-mana-template","","Land","UW","0eec9984-cd11-4a52-9234-469c6a5fb9aa","Abandoned Campground","oracle-id","true","legal","paper,mtgo,arena"
"Abandoned Outpost","oracle-0047","true","certified","land-mana-template","","Land","W","5a70ccfa-d12d-4e62-a1a4-f05cda2fd442","Abandoned Outpost","oracle-id","true","legal","paper,mtgo"
"Abattoir Ghoul","oracle-0171","true","certified","creature-template","{3}{B}","Creature — Zombie","B","2b211adb-de44-4468-b65d-907a09aa7e9d","Abattoir Ghoul","oracle-id","true","legal","paper"
"Abbey Griffin","oracle-0001","true","certified","keyword-only","{3}{W}","Creature — Griffin","W","6eb74f6e-1c9d-4caf-a0d8-fa472d435346","Abbey Griffin","oracle-id","true","legal","paper,mtgo"
"Abbey Matron","oracle-0027","true","certified","creature-template","{2}{W}","Creature — Human Cleric","W","62e3f285-886c-414e-b4ff-403a7c01c23a","Abbey Matron","oracle-id","true","legal","paper"
"Abbot of Keral Keep","oracle-0047","true","certified","creature-template","{1}{R}","Creature — Human Monk","R","09be0f69-9c7f-491f-964d-bfbbc2d4251f","Abbot of Keral Keep","oracle-id","true","legal","paper,mtgo"
